id,surface,corpus,group,slot,mode,kind,text,renders,retrieval,constraints
placeholder.spokes/presidential/PresidentialFilterForm.tsx:91,placeholder,presidential,,1,,suggestion,"e.g. national emergency, suspension of entry, classified information",spoke filter form,,"this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
placeholder.spokes/presidential/PresidentialFilterForm.tsx:136,placeholder,presidential,,2,,format-hint,e.g. 14239,spoke filter form,,"format-hint: this teaches the field’s syntax, not a subject — prose here breaks the lesson (an executive order number); this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
placeholder.spokes/presidential/PresidentialFilterForm.tsx:148,placeholder,presidential,,3,,suggestion,e.g. United States Intelligence Activities,spoke filter form,,"this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
placeholder.spokes/presidential/PresidentialFilterForm.tsx:157,placeholder,presidential,,4,,suggestion,"e.g. Homeland Security, State",spoke filter form,,"this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
placeholder.spokes/sanctions/SanctionsEntityFilterForm.tsx:73,placeholder,sanctions,,1,,suggestion,"e.g. Wagner, Rosneft, Islamic Revolutionary Guard Corps",spoke filter form,,"Sanctions has no designation dates — publish_date is a copy-freshness stamp for the list data, not a designation date"
placeholder.spokes/sanctions/SanctionsFrFilterForm.tsx:69,placeholder,sanctions,,1,,suggestion,"e.g. designation, blocking property, foreign terrorist organization",spoke filter form,,"Sanctions has no designation dates — publish_date is a copy-freshness stamp for the list data, not a designation date"
placeholder.spokes/sanctions/SanctionsGuidanceFilterForm.tsx:71,placeholder,sanctions,,1,,suggestion,"e.g. 50 percent rule, general license, wind-down",spoke filter form,,"Sanctions has no designation dates — publish_date is a copy-freshness stamp for the list data, not a designation date"
placeholder.spokes/usc/UscFilterForm.tsx:76,placeholder,usc,,1,,format-hint,e.g. 8 U.S.C. § 1225,spoke filter form,,"format-hint: this teaches the field’s syntax, not a subject — prose here breaks the lesson (a U.S. Code citation)"
placeholder.spokes/usc/UscFilterForm.tsx:87,placeholder,usc,,2,,suggestion,"e.g. habeas corpus, asylum, antitrust",spoke filter form,,
placeholder.spokes/usc/UscFilterForm.tsx:96,placeholder,usc,,3,,format-hint,e.g. Inspection,spoke filter form,,"format-hint: this teaches the field’s syntax, not a subject — prose here breaks the lesson (a section heading, matched as stored)"
